,names,score,boolean
0,gloomhaven,0.477358,True
1,pandemic legacy: season 1,0.413074,True
2,through the ages: a new story of civilization,0.265588,False
3,twilight struggle,0.351156,True
4,terraforming mars,0.43962,True
5,star wars: rebellion,0.31972,True
6,terra mystica,0.52035,True
7,scythe,0.459772,True
8,7 wonders duel,0.454262,True
9,great western trail,0.439072,True
10,the castles of burgundy,0.423566,True
11,war of the ring (second edition),0.166036,False
12,caverna: the cave farmers,0.35683,True
13,puerto rico,0.326822,True
14,agricola,0.372592,True
15,mage knight board game,0.44318,True
16,blood rage,0.339758,True
17,arkham horror: the card game,0.218722,False
18,mansions of madness: second edition,0.39093,True
19,through the ages: a story of civilization,0.207142,False
20,mechs vs. minions,0.437154,True
21,viticulture essential edition,0.479778,True
22,star wars: imperial assault,0.254012,False
23,concordia,0.429146,True
24,orleans,0.504606,True
25,power grid,0.324664,True
26,eclipse,0.349168,True
27,food chain magnate,0.426594,True
28,a feast for odin,0.385782,True
29,robinson crusoe: adventures on the cursed island,0.279104,False
30,brass: lancashire,0.274364,False
31,tzolk'in: the mayan calendar,0.451704,True
32,le havre,0.413866,True
33,android: netrunner,0.341642,True
34,kingdom death: monster,0.242816,False
35,the voyages of marco polo,0.389746,True
36,the 7th continent,0.34574,True
37,codenames,0.374614,True
38,keyflower,0.351234,True
39,7 wonders,0.515916,True
40,t.i.m.e stories,0.248294,False
41,caylus,0.361232,True
42,eldritch horror,0.194228,False
43,twilight imperium (third edition),0.395618,True
44,race for the galaxy,0.24887,False
45,lords of waterdeep,0.325948,True
46,dominant species,0.36934,True
47,five tribes,0.413002,True
48,el grande,0.43121,True
49,patchwork,0.376982,True
50,roll for the galaxy,0.42373,True
51,fields of arle,0.285876,True
52,dominion: intrigue,0.280968,False
53,clank!: a deck-building adventure,0.361634,True
54,dead of winter: a crossroads game,0.277542,False
55,star wars: x-wing miniatures game,0.228992,False
56,battlestar galactica: the board game,0.291854,True
57,pandemic legacy: season 2,0.374932,True
58,sherlock holmes consulting detective: the thames murders and other cases,0.146544,False
59,mombasa,0.310396,True
60,russian railroads,0.295964,True
61,trajan,0.366272,True
62,troyes,0.438362,True
63,dominion,0.441862,True
64,tigris and euphrates,0.409812,True
65,pandemic,0.373142,True
66,gaia project,0.458644,True
67,santorini,0.39375,True
68,the gallerist,0.32758,True
69,crokinole,0.457006,True
70,descent: journeys in the dark (second edition),0.262566,False
71,kemet,0.262814,False
72,castles of mad king ludwig,0.348672,True
73,war of the ring (first edition),0.165906,False
74,stone age,0.377098,True
75,alchemists,0.353896,True
76,clans of caledonia,0.429734,True
77,the resistance: avalon,0.246518,False
78,a game of thrones: the board game (second edition),0.412902,True
79,forbidden stars,0.30968,True
80,arcadia quest,0.216686,False
81,legendary encounters: an alien deck building game,0.338688,True
82,star realms,0.318494,True
83,ora et labora,0.459984,True
84,suburbia,0.309014,True
85,nations,0.310944,True
86,ticket to ride: europe,0.333282,True
87,chaos in the old world,0.287602,True
88,commands and colors: ancients,0.36478,True
89,istanbul,0.517204,True
90,railways of the world,0.227122,False
91,paths of glory,0.298336,True
92,anachrony,0.26775,False
93,captain sonar,0.435424,True
94,pandemic iberia,0.435148,True
95,cosmic encounter,0.175406,False
96,combat commander: europe,0.236072,False
97,goa,0.333264,True
98,the lord of the rings: the card game,0.391874,True
99,jaipur,0.521992,True
100,la granja,0.39393,True
101,hansa teutonica,0.326092,True
102,steam,0.247974,False
103,zombicide: black plague,0.385654,True
104,age of steam,0.235396,False
105,azul,0.43061,True
106,village,0.28289,True
107,splendor,0.439462,True
108,the princes of florence,0.229412,False
109,ticket to ride: nordic countries,0.269236,False
110,viticulture,0.322506,True
111,tichu,0.177886,False
112,go,0.332108,True
113,yokohama,0.38181,True
114,memoir '44,0.258682,False
115,grand austria hotel,0.326246,True
116,legendary: a marvel deck building game,0.403898,True
117,twilight imperium: fourth edition,0.46448,True
118,ticket to ride,0.235774,False
119,champions of midgard,0.314916,True
120,imperial settlers,0.352126,True
121,shogun,0.242478,False
122,galaxy trucker,0.288424,True
123,battlelore (second edition),0.306722,True
124,mage wars arena,0.116404,False
125,hannibal: rome vs. carthage,0.265018,False
126,inis,0.293708,True
127,cyclades,0.345726,True
128,yinsh,0.296954,True
129,lewis and clark,0.42378,True
130,age of empires iii: the age of discovery,0.39395,True
131,dungeon petz,0.335724,True
132,ra,0.339714,True
133,summoner wars: master set,0.310154,True
134,imperial,0.393388,True
135,runewars,0.253752,False
136,carcassonne,0.242814,False
137,space alert,0.229668,False
138,dead of winter: the long night,0.088404,False
139,sekigahara: the unification of japan,0.190136,False
140,mysterium,0.307452,True
141,glory to rome,0.441118,True
142,bora bora,0.288508,True
143,targi,0.362248,True
144,above and below,0.40647,True
145,sushi go party!,0.500326,True
146,alien frontiers,0.375584,True
147,isle of skye: from chieftain to king,0.224828,False
148,1960: the making of the president,0.252154,False
149,seasons,0.523384,True
150,power grid deluxe: europe/north america,0.397692,True
151,magic: the gathering,0.351312,True
152,xia: legends of a drift system,0.365164,True
153,fury of dracula (third edition),0.0143,False
154,dixit odyssey,0.323998,True
155,navegador,0.407416,True
156,here i stand,0.236576,False
157,1830: railways and robber barons,0.368662,True
158,imperial 2030,0.25021,False
159,the resistance,0.323976,True
160,sid meier's civilization: the board game,0.210926,False
161,samurai,0.158116,False
162,agricola: all creatures big and small,0.31935,True
163,battle line,0.28997,True
164,deception: murder in hong kong,0.250066,False
165,star wars: armada,0.228324,False
166,dungeon lords,0.333774,True
167,die macher,0.400124,True
168,small world,0.330398,True
169,letters from whitechapel,0.382138,True
170,near and far,0.248386,False
171,trickerion: legends of illusion,0.345254,True
172,claustrophobia,0.260484,False
173,mission: red planet (second edition),0.33874,True
174,codenames duet,0.416946,True
175,star realms: colony wars,0.290368,True
176,blood bowl: living rulebook,0.339978,True
177,dixit,0.381216,True
178,onitama,0.440906,True
179,codenames: pictures,0.347102,True
180,ghost stories,0.222866,False
181,battlecon: devastation of indines,0.437654,True
182,advanced squad leader,0.269192,False
183,lisboa,0.370776,True
184,bruges,0.337226,True
185,spirit island,0.464376,True
186,merchants and marauders,0.338566,True
187,indonesia,0.36172,True
188,mice and mystics,0.248298,False
189,endeavor,0.302136,True
190,kingdomino,0.410004,True
191,rococo,0.361028,True
192,clash of cultures,0.36845,True
193,agricola (revised edition),0.325438,True
194,the manhattan project,0.341208,True
195,takenoko,0.51307,True
196,hive,0.338858,True
197,love letter,0.383252,True
198,acquire,0.338044,True
199,glass road,0.26692,False
200,dune,0.342796,True
201,neuroshima hex!,0.381302,True
202,raiders of the north sea,0.400822,True
203,charterstone,0.516016,True
204,secret hitler,0.299852,True
205,notre dame,0.384938,True
206,burgle bros.,0.376882,True
207,lorenzo il magnifico,0.418916,True
208,in the year of the dragon,0.370624,True
209,the manhattan project: energy empire,0.388502,True
210,hero realms,0.335298,True
211,tikal,0.349356,True
212,space hulk (third edition),0.205576,False
213,kanban: automotive revolution,0.056508,False
214,civilization,0.329176,True
215,king of tokyo,0.402588,True
216,cthulhu wars,0.25129,False
217,telestrations,0.426318,True
218,risk legacy,0.308714,True
219,san juan,0.428028,True
220,saint petersburg,0.314222,True
221,modern art,0.40275,True
222,survive: escape from atlantis!,0.287382,True
223,aeon's end,0.202318,False
224,ticket to ride: marklin,0.472138,True
225,the pillars of the earth,0.242772,False
226,vinhos deluxe edition,0.455716,True
227,sagrada,0.494878,True
228,arkham horror,0.273934,False
